JobName=PiEstimator, ID=attempt_201308081533_0001_m_000047_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, StartTime=1375976257225, FinishTime=1375976261636, ExecTime=4411 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000048_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976260648, FinishTime=1375976265201, ExecTime=4553 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000049_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, StartTime=1375976260231, FinishTime=1375976264636, ExecTime=4405 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000050_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976263655, FinishTime=1375976268186, ExecTime=4531 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000051_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, StartTime=1375976263237, FinishTime=1375976267603, ExecTime=4366 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000052_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976266662, FinishTime=1375976271189, ExecTime=4527 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000053_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, StartTime=1375976266243, FinishTime=1375976270625, ExecTime=4382 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000054_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976269669, FinishTime=1375976274275, ExecTime=4606 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000055_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, StartTime=1375976269249, FinishTime=1375976273613, ExecTime=4364 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000056_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976272676, FinishTime=1375976277185, ExecTime=4509 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000057_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, StartTime=1375976272254, FinishTime=1375976276568, ExecTime=4314 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000058_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976275686, FinishTime=1375976280288, ExecTime=4602 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000059_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, StartTime=1375976275259, FinishTime=1375976279620, ExecTime=4361 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000060_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976278692, FinishTime=1375976283229, ExecTime=4537 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000061_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, StartTime=1375976278265, FinishTime=1375976282607, ExecTime=4342 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000062_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976281699, FinishTime=1375976286307, ExecTime=4608 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000063_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, StartTime=1375976281271, FinishTime=1375976285600, ExecTime=4329 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000064_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976284706, FinishTime=1375976289229, ExecTime=4523 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000065_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, StartTime=1375976284277, FinishTime=1375976288722, ExecTime=4445 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000066_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976287712, FinishTime=1375976292356, ExecTime=4644 
