***current time: 1375648574647, job name: PiEstimator, job startTime: 1375648574602, job relativeDeadline: 300, job deadline: 1375648874602
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000071_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=6274 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000072_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, ExecTime=4399 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000073_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=5570 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000074_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=5497 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000075_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, ExecTime=4326 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000076_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=5545 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000077_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=5548 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000078_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, ExecTime=4367 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000079_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=5585 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000080_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=5587 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000081_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, ExecTime=4322 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000082_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=4530 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000083_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=4549 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000084_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=4545 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000085_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=4512 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000086_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, ExecTime=4380 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000087_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=4584 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000088_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=4495 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000089_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=4571 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000090_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=4502 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000091_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=4956 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000092_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, ExecTime=4304 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000093_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=4527 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000094_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=4637 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000095_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=4523 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000096_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=4504 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000097_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=4606 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000098_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, ExecTime=4344 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000099_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=4528 
 JobName=PiEstimator, ID=attempt_201308042034_0002_r_000000_0, Type=REDUCE, Status=SUCCEEDED, Machine=slave1test, ExecTime=290608, ShuffleTime=287490, SortTime=21 
JobName=PiEstimator, ID=attempt_201308042034_0002_m_000100_0, Type=SC_MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=4527 
 
